manga,author,publisher,demographic,num_of_vol,serialized,sales,sales_per_vol
One Piece,Eiichiro Oda,Shueisha,Shōnen,104,1997–present,516.6 million,4.97 million
Dragon Ball,Akira Toriyama,Shueisha,Shōnen,42,1984–1995,350million,8.33 million
Golgo 13,"Takao Saito, Saito Production",Shogakukan,Seinen,205,1968–present,300million,1.46 million
Detective Conan,Gosho Aoyama,Shogakukan,Shōnen,102,1994–present,250million,2.45 million
Doraemon,Fujiko F. Fujio,Shogakukan,Children,45,1969–1996,250million,4.71 million
Naruto,Masashi Kishimoto,Shueisha,Shōnen,72,1999–2014,250million,3.47 million
Slam Dunk,Takehiko Inoue,Shueisha,Shōnen,31,1990–1996,170million,5.48 million
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,Shōnen,201,1976–2016,156.5million,0.78 million
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,Shōnen,23,2016–2020,150million,6.52 million
Crayon Shin-chan,"Yoshito Usui, UY Team",Futabasha,Seinen,61,1990–present,148million,2.55 million
Oishinbo,"Tetsu Kariya, Akira Hanasaki",Shogakukan,Seinen,111,1983–2014 (on hiatus),135million,1.22 million
Bleach,Tite Kubo,Shueisha,Shōnen,74,2001–2016,130million,1.75 million
JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,Shōnen/Seinen,131,1987–present,120million,0.92 million
Attack on Titan,Hajime Isayama,Kodansha,Shōnen,34,2009–2021,110million,3.23 million
Astro Boy,Osamu Tezuka,Kobunsha,Shōnen,23,1952–1968,100million,4.35 million
Fist of the North Star,"Buronson, Tetsuo Hara",Shueisha,Shōnen,27,1983–1988,100million,3.70 million
Hajime no Ippo,George Morikawa,Kodansha,Shōnen,134,1989–present,100million,0.74 million
The Kindaichi Case Files,"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",Kodansha,Shōnen/Seinen,87,1992–present,100million,1.15 million
Touch,Mitsuru Adachi,Shogakukan,Shōnen,26,1981–1986,100million,3.85 million
Kingdom,Yasuhisa Hara,Shueisha,Seinen,66,2006–present,92million,1.39 million
Sazae-san,Machiko Hasegawa,Kodansha,-,45,1946–1974,86million,1.91 million
Baki the Grappler,Keisuke Itagaki,Akita Shoten,Shōnen,143,1991–present,85million,0.59 million
Hunter × Hunter,Yoshihiro Togashi,Shueisha,Shōnen,37,1998–present,84million,2.33 million
